variant,trial,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,1,10000,1,512,4000000,300403364,13.3154,0.6772,70.71,120.58,0.0000
c8,1,1,10000,1,512,4000000,295021209,13.5583,0.6772,69.59,118.04,0.0000
c8,2,1,10000,1,512,4000000,306391812,13.0552,0.6772,70.38,129.23,0.0000
moka,0,1,10000,1,512,4000000,1215141257,3.2918,0.6709,288.08,532.35,0.0000
moka,1,1,10000,1,512,4000000,1216201582,3.2889,0.6710,288.44,581.30,0.0000
moka,2,1,10000,1,512,4000000,1223140962,3.2703,0.6710,289.15,529.28,0.0000
mini_moka,0,1,10000,1,512,4000000,1313985879,3.0442,0.6695,312.32,601.44,0.0000
mini_moka,1,1,10000,1,512,4000000,1306803117,3.0609,0.6700,311.57,563.91,0.0000
mini_moka,2,1,10000,1,512,4000000,1301039724,3.0745,0.6697,311.89,624.85,0.0000
c8,0,1,10000,2,512,4000000,246201077,16.2469,0.6763,113.87,216.45,0.0050
c8,1,1,10000,2,512,4000000,231581129,17.2726,0.6764,111.15,203.71,0.0037
c8,2,1,10000,2,512,4000000,234007386,17.0935,0.6773,113.21,199.31,0.0128
moka,0,1,10000,2,512,4000000,1146486022,3.4889,0.6719,541.12,1070.47,0.0216
moka,1,1,10000,2,512,4000000,1168718127,3.4226,0.6720,546.34,1131.68,0.0294
moka,2,1,10000,2,512,4000000,1164232211,3.4357,0.6715,541.23,1146.51,0.0284
mini_moka,0,1,10000,2,512,4000000,1079941299,3.7039,0.6702,519.47,837.38,0.0115
mini_moka,1,1,10000,2,512,4000000,1087381061,3.6786,0.6705,531.83,795.38,0.0019
mini_moka,2,1,10000,2,512,4000000,1093343096,3.6585,0.6707,532.43,817.98,0.0030
c8,0,1,10000,4,512,4000000,180126370,22.2066,0.6769,158.16,392.41,0.0095
c8,1,1,10000,4,512,4000000,166739500,23.9895,0.6770,153.52,329.47,0.0064
c8,2,1,10000,4,512,4000000,170750257,23.4260,0.6769,159.63,342.65,0.0047
moka,0,1,10000,4,512,4000000,828200557,4.8297,0.6923,611.52,2599.50,0.0098
moka,1,1,10000,4,512,4000000,819805906,4.8792,0.6918,609.60,2462.94,0.0136
moka,2,1,10000,4,512,4000000,816680559,4.8979,0.6910,609.54,2449.46,0.0209
mini_moka,0,1,10000,4,512,4000000,620688018,6.4445,0.6802,518.73,1252.65,0.0013
mini_moka,1,1,10000,4,512,4000000,629353698,6.3557,0.6799,572.29,1213.04,0.0105
mini_moka,2,1,10000,4,512,4000000,608805361,6.5702,0.6801,483.35,1199.48,0.0078
c8,0,1,10000,8,512,4000000,159136115,25.1357,0.6768,277.40,741.27,0.0112
c8,1,1,10000,8,512,4000000,158402656,25.2521,0.6771,279.76,719.02,0.0175
c8,2,1,10000,8,512,4000000,166151973,24.0743,0.6776,272.35,887.94,0.0356
moka,0,1,10000,8,512,4000000,825395924,4.8462,0.6959,1433.10,4583.72,0.0158
moka,1,1,10000,8,512,4000000,835787310,4.7859,0.6956,1439.71,4984.47,0.0110
moka,2,1,10000,8,512,4000000,819918202,4.8785,0.6954,1430.59,4299.06,0.0094
mini_moka,0,1,10000,8,512,4000000,612962957,6.5257,0.6893,1115.62,2431.89,0.0139
mini_moka,1,1,10000,8,512,4000000,605944331,6.6013,0.6904,1126.69,2407.92,0.0068
mini_moka,2,1,10000,8,512,4000000,611770520,6.5384,0.6894,1126.76,2507.92,0.0096
